BLDG_ID,Region,Size,Year,Hours,HDD65,CDD65,SrcEUI,Group,Order
4338,Middle Atlantic,10500,1991,60,5418,771,2.793249911,79,2
853,Middle Atlantic,81000,1958,98,4397,997,3.150642969,99,2
5182,Middle Atlantic,300000,1987,168,3837,1360,2.888908681,70,2
132,Middle Atlantic,245000,1987,168,3408,1714,2.749567606,44,2
5486,Middle Atlantic,300000,1974,168,3748,1510,2.892234016,73,2
5101,Middle Atlantic,95000,1990,55,4079,1348,2.831218317,55,2
1698,Middle Atlantic,280000,1999,50,5696,1034,3.095359074,64,2
4222,Middle Atlantic,96000,1991,60,4648,1154,3.089425264,23,2
5626,Middle Atlantic,68000,1992,168,5081,955,3.108435776,41,2
6239,South Atlantic,14250,2009,45,4048,1557,0.339774466,74,3
6311,South Atlantic,89000,1984,68,80,3776,0.34510033,44,3
3466,South Atlantic,8200,2008,45,823,3137,0.372432468,45,3
1651,South Atlantic,5000,1990,50,2223,1971,0.376219526,59,3
2592,South Atlantic,15000,1981,40,4167,1353,0.41513113,48,3
5487,South Atlantic,32000,1953,60,1212,2581,0.428886611,67,3
5190,South Atlantic,10750,1980,50,3275,1607,0.444553153,61,3
3949,South Atlantic,95000,2007,50,4418,1153,0.461822824,9,3
5094,South Atlantic,14000,1980,45,4202,1463,0.617621387,27,3
5143,South Atlantic,28000,1985,84,200,3314,0.500377814,67,3
4365,South Atlantic,44500,2012,60,4429,1510,0.532411455,80,3
6578,South Atlantic,6700,2008,40,2725,1464,0.540072344,21,3
141,South Atlantic,5300,1967,50,4397,1532,0.55187837,56,3
2119,South Atlantic,9900,1985,54,3669,1585,0.565209105,79,3
2964,South Atlantic,360000,2010,68,3186,2028,0.566478062,7,3
2633,South Atlantic,41000,2005,78,2491,1927,0.573166199,19,3
4684,South Atlantic,43500,1997,60,3453,1670,0.70376263,95,3
3902,South Atlantic,14000,2008,50,3470,1656,0.622089093,56,3
2349,South Atlantic,33000,1996,50,3861,1678,0.708837715,23,3
1297,South Atlantic,5500,1958,70,145,4680,0.681598656,38,3
3759,South Atlantic,30000,1985,168,319,3219,0.681784589,9,3
454,South Atlantic,186000,2005,80,3619,1933,0.70257066,14,3
2942,South Atlantic,10000,2005,48,2758,1732,0.742615603,27,3
2202,South Atlantic,5000,1984,40,2325,1941,0.838825637,6,3
5013,South Atlantic,17000,1988,40,2231,2116,0.773056631,25,3
3003,South Atlantic,9300,1986,45,2493,1874,0.776286101,43,3
3008,South Atlantic,178000,1955,45,2907,1524,0.94027443,33,3
1066,South Atlantic,89000,1974,45,2756,1629,0.882524536,12,3
2002,South Atlantic,69000,1983,45,2399,2254,0.839405701,26,3
696,South Atlantic,136000,1991,98,73,4862,0.834724912,96,3
4908,South Atlantic,5200,1992,80,741,3190,0.836131458,95,3
3777,South Atlantic,160000,1983,50,3342,1835,0.875308676,5,3
5500,South Atlantic,12000,2000,50,3357,1384,0.878093472,29,3
5309,South Atlantic,5000,1999,40,3393,1839,0.88603177,91,3
2586,South Atlantic,28000,2006,50,5026,902,0.907404288,32,3
1403,South Atlantic,30500,2002,42,3063,1716,0.962560624,81,3
3051,South Atlantic,46000,2004,50,2493,1677,0.94899803,89,3
6174,South Atlantic,8800,1982,44,3337,1891,0.941416855,32,3
3582,South Atlantic,29500,2004,45,1135,3072,0.941697109,22,3
1621,South Atlantic,172000,2000,68,3384,1738,0.945695299,16,3
3147,South Atlantic,44000,2006,40,3865,1643,0.97785344,64,3
5979,South Atlantic,20000,1973,168,4918,1110,1.065391415,38,3
6614,South Atlantic,58000,1972,168,121,3256,0.984965651,31,3
2290,South Atlantic,5200,1984,53,775,3662,0.992833477,59,3
6479,South Atlantic,8300,1975,60,3190,1533,0.995169843,89,3
2149,South Atlantic,350000,1985,65,649,3854,1.000931157,47,3
1074,South Atlantic,20000,1988,40,122,4283,1.005927437,64,3
415,South Atlantic,490000,1989,55,2498,2435,1.012327415,16,3
800,South Atlantic,6900,1985,40,140,4476,1.017678929,46,3
1592,South Atlantic,41000,2000,60,3094,1263,1.105235508,50,3
1500,South Atlantic,50000,2003,50,2903,1879,1.04875575,85,3
6158,South Atlantic,24000,2001,48,3868,1597,1.157728158,40,3
4966,South Atlantic,110000,1980,64,1903,2060,1.063594776,67,3
767,South Atlantic,225000,1983,80,3214,1637,1.065508914,58,3
1256,South Atlantic,116000,1986,168,474,3384,1.072318002,91,3
2537,South Atlantic,106000,1959,55,3942,1685,1.121583045,3,3
830,South Atlantic,68000,1985,50,2964,2161,1.115529503,17,3
258,South Atlantic,158000,1999,55,3089,1950,1.095770833,39,3
4646,South Atlantic,290000,1997,60,69,4636,1.122116737,98,3
2071,South Atlantic,200001,1971,168,2560,1887,1.123833427,52,3
2994,South Atlantic,198000,1999,65,4154,1246,1.125627859,81,3
2487,South Atlantic,200000,1969,50,2845,1874,1.152419629,1,3
3892,South Atlantic,17750,1990,50,2708,2165,1.153726118,9,3
1879,South Atlantic,5200,1969,45,67,4196,1.172955877,58,3
2908,South Atlantic,10250,2000,80,334,4449,1.175049947,50,3
205,South Atlantic,6000,2007,81,3989,1450,1.183242768,62,3
6111,South Atlantic,8000,2002,56,2443,1761,1.207144077,25,3
4147,South Atlantic,28000,1968,60,3509,1555,1.233042805,94,3
6273,South Atlantic,380000,1993,55,3515,1589,1.263596581,28,3
4700,South Atlantic,40000,1970,50,2183,2170,1.294925674,65,3
6529,South Atlantic,24750,2001,50,2042,2008,1.387179841,17,3
6515,South Atlantic,290000,2004,60,272,4325,1.219893346,78,3
199,South Atlantic,142000,1989,54,4784,1121,1.221472654,24,3
3178,South Atlantic,5600,2008,56,734,3241,1.236508457,6,3
1508,South Atlantic,5000,1990,60,2896,1813,1.244665152,38,3
3648,South Atlantic,11000,1988,60,3823,1510,1.250524852,60,3
3569,South Atlantic,75000,1995,45,2316,1596,1.255152795,82,3
6160,South Atlantic,305000,1967,60,2252,2013,1.3686851,96,3
5973,South Atlantic,142000,1989,54,4350,1188,1.270349848,52,3
6089,South Atlantic,5500,1948,168,1159,2127,1.285711226,89,3
3026,South Atlantic,118000,1973,60,99,4089,1.296925268,24,3
6118,South Atlantic,295000,1989,55,2189,2097,1.305512489,62,3
5540,South Atlantic,150000,1984,168,5201,990,1.349567767,93,3
3822,South Atlantic,200001,1980,168,2675,1757,1.331354763,78,3
5391,South Atlantic,12250,1979,88,3537,1597,1.515237926,27,3
2624,South Atlantic,9900,2001,114,2421,1454,1.35421056,80,3
3927,South Atlantic,220000,1988,60,4460,984,1.361472151,66,3
5857,South Atlantic,315000,1953,168,2607,2374,1.367444299,64,3
1946,South Atlantic,300000,1984,72,106,4117,1.36530455,81,3
4054,South Atlantic,44000,1971,50,4244,1144,1.448824546,67,3
537,South Atlantic,405000,2002,75,2972,2087,1.3778663,79,3
6379,South Atlantic,470000,1975,55,2324,1878,1.398923278,74,3
4568,South Atlantic,30000,1952,40,147,4767,1.41032353,26,3
3834,South Atlantic,18500,1965,50,4355,948,1.687964458,78,3
301,South Atlantic,30000,1986,50,119,4132,1.45549487,84,3
3237,South Atlantic,230000,2006,65,4144,1498,1.455514295,32,3
918,South Atlantic,320000,1992,55,3772,1337,1.462349983,57,3
5760,South Atlantic,170000,1969,55,268,3806,1.476596724,47,3
6051,South Atlantic,95000,1984,65,4921,1056,1.479064435,19,3
237,South Atlantic,230000,1972,70,3382,1824,1.52049747,26,3
6412,South Atlantic,6000,1979,56,317,3643,1.537240581,33,3
2453,South Atlantic,445000,1999,65,2368,1820,1.526671995,56,3
170,South Atlantic,41000,1977,60,130,4004,1.52817677,66,3
1113,South Atlantic,100000,1998,50,96,4550,1.550184506,85,3
3577,South Atlantic,380000,2003,75,3175,2244,1.551123997,98,3
1202,South Atlantic,11250,1980,40,986,2981,1.564508495,40,3
2531,South Atlantic,5500,1973,40,2782,1818,1.569624977,79,3
6030,South Atlantic,76000,1957,55,2482,1585,1.63699521,68,3
4515,South Atlantic,42000,1972,50,682,3221,1.704226696,62,3
1218,South Atlantic,40000,1960,68,4236,1468,1.598140836,32,3
4202,South Atlantic,17750,2008,77,3206,1807,1.742282296,77,3
1234,South Atlantic,6900,1975,60,3792,1619,1.698241755,33,3
6108,South Atlantic,30000,1985,75,4084,1110,1.616778662,39,3
2210,South Atlantic,275000,1975,60,3853,1283,1.653065832,90,3
5921,South Atlantic,190000,1971,45,3412,1408,1.625695282,25,3
2705,South Atlantic,93000,1989,60,432,3842,1.630024209,35,3
3145,South Atlantic,5300,1985,45,2116,2065,1.639819128,41,3
5118,South Atlantic,188000,1990,168,189,4280,1.656908087,5,3
1903,South Atlantic,40000,1985,50,3229,1424,1.675039543,64,3
574,South Atlantic,172000,1982,45,4084,1407,1.726579124,98,3
6106,South Atlantic,24000,1969,84,3273,1569,1.983712351,66,3
894,South Atlantic,10250,1988,60,4054,1403,1.975686288,4,3
6200,South Atlantic,106000,1981,56,4505,1083,1.816001419,76,3
28,South Atlantic,395000,1994,66,2799,1974,1.861191643,7,3
5640,South Atlantic,39500,2005,55,3098,2313,1.893263297,81,3
4028,South Atlantic,8000,1996,52,893,2590,1.896243408,10,3
